                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5049,                 3.2818,                 1.5644,                0.00468,                      1,                0.59526,                  0.421,                0.84591,                 3.3609,                 1.0789,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.2099,                 2.1268,                 1.3504,                      1,                0.11847,                0.77723,                0.51465,                0.97002,                 3.2513,                 1.1985,             0.00036037,             0.00036037,             0.00036037
                      3,                 1.1471,                 1.5842,                 1.2626,                0.97982,                0.46637,                0.95826,                0.69038,                 0.9821,                 2.8613,                 1.1741,             0.00050855,             0.00050855,             0.00050855
                      4,                 1.1739,                 1.4535,                   1.23,                0.87576,                0.85315,                0.91606,                0.66956,                0.98878,                   2.15,                 1.1975,             0.00063033,             0.00063033,             0.00063033
                      5,                 1.0954,                  1.346,                 1.1889,                0.80293,                 0.8642,                0.92132,                0.60333,                 1.1849,                 2.0424,                 1.4572,              0.0007257,              0.0007257,              0.0007257
                      6,                 1.0096,                 1.5714,                 1.1986,                0.91517,                0.93701,                 0.9525,                0.67768,                 1.0261,                 1.8799,                 1.2358,             0.00079467,             0.00079467,             0.00079467
                      7,                  1.085,                 1.5564,                 1.2416,                0.92684,                 0.9194,                0.94322,                0.68599,                0.99782,                 1.9828,                 1.2131,             0.00083722,             0.00083722,             0.00083722
                      8,                0.97202,                 1.3855,                 1.1415,                0.94643,                0.94282,                0.96946,                0.72514,                0.89969,                 1.4726,                 1.1349,              0.0007688,              0.0007688,              0.0007688
                      9,                0.92426,                 1.2421,                 1.1371,                0.96852,                0.96549,                 0.9713,                0.73337,                0.92113,                 1.3267,                 1.1127,             0.00067449,             0.00067449,             0.00067449
                     10,                0.94849,                 1.2142,                 1.1131,                0.95628,                0.98697,                0.98386,                0.74788,                0.86645,                 1.2748,                 1.0831,             0.00058017,             0.00058017,             0.00058017
                     11,                0.91744,                 1.1824,                 1.1119,                0.96477,                0.96553,                 0.9831,                0.76246,                0.86023,                  1.226,                 1.0752,             0.00048586,             0.00048586,             0.00048586
                     12,                0.89712,                 1.1123,                 1.1155,                0.95207,                0.97347,                0.96935,                0.75469,                0.82883,                 1.1479,                 1.0418,             0.00039155,             0.00039155,             0.00039155
                     13,                0.86678,                 1.0742,                    1.1,                  0.968,                0.97696,                 0.9667,                0.75209,                0.85225,                 1.1327,                 1.0445,             0.00029723,             0.00029723,             0.00029723
                     14,                0.82935,                 1.0442,                  1.076,                0.96525,                0.97467,                0.96878,                0.74139,                0.84448,                 1.0967,                 1.0445,             0.00020292,             0.00020292,             0.00020292
                     15,                0.80778,                0.96901,                 1.0421,                0.96708,                0.97479,                0.96915,                0.74797,                0.82927,                 1.0689,                 1.0377,              0.0001086,              0.0001086,              0.0001086
